,100NAHYU,153KUU,154KUU,157KUU,159KUU,160KUU,163KUU,165KUU,167KAHYM,168KUU,169KUU,171KHYF,188KAHYM,190KUU,193KHYM,1UHYF,232NHYM,234NAHYM,235AHYF,236NAHYF,237NHYM,238NHYF,242NHYF,243NHYF,244NHYF,245NHYM,246NHYM,247NAHYM,248NHYF,249NHYF,250NHYM,252NAHYF,253NUU,254NHYM,255NHYM,256NAHYM,257NHYM,258NHYM,259NHYF,260NAHYF,261WHYM,262WHYF,264WHYF,265WHYM,266WHYM,268WHYF,269WAHYM,26UAHYF,270WAHYF,271WAHYM,276WHYU,278WAHYU,280WAHYU,289WHYU,293WHYU,294WAHYU,295WAHYU,296WAHYU,2UHYM,300WHYU,301WHYU,302WHYU,303WHYU,304WAHYU,305WAHYU,306WAHYU,310WHYU,311WHYU,312WHYU,314WHYU,315WHYU,316WHYU,317WAHYU,318WAHYU,325WAHYU,327WAHYU,328WAHYU,342WUU,343WUU,345WUU,346WUU,351WUU,352WUU,361CHYU,362CAHYU,364CAHYU,368CAHYU,369CHYU,370CAHYU,372CAHYU,373CAHYU,374RHYU,376RHYU,377CAHYU,380CAHYU,381CAHYU,384CHYU,388CHYU,389CHYU,398CAHYU,3UAHYF,401CAHYU,402CHYU,405CHYU,408CHYU,411CHYU,423RAHYU,432RAHYU,437RAHYU,446CAHYU,451CAHYU,453CAHYU,454CAHYU,461CUU,463CUU,464CUU,470CUU,480CUU,481CHYU,483CAHYU,484CUU,485CAHYU,486CHYU,488CUU,489CAHYU,490CUU,491CAHYU,495CAHYU,5UAHYM,61NAHYU,62NAHYU,63NAHYU,64NAHYU,65NAHYU,66NAHYU,67NAHYU,68NAHYU,69NAHYU,70NAHYU,83NAHYU,84NAHYU,85NAHYU,87NAHYU,90NAHYU,91NAHYU,92NAHYU,93NAHYU,94NAHYU,96NAHYU,97NAHYU,98NAHYU,g16NHYU,g22NUU,g24NUU,g27NUU,g28NAHYU,g2NHYU,g4NUU,g5NUU,g6NUU,g7NUU
Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048682284,0,0,0,0,0,0,0,0,0,0,0,0,0.010431918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0.019765739,0.034407028,0.072291362,0.105783309,0.055270864,0.050878477,0.218338214,0.071193265,0,0.023060029,0.016105417,0.047767204,0.094985359,0.03056369,0.024158126,0.294106881,0.05636896,0.177708638,0.188872621,0.131039531,0.046303075,0.025439239,0.141654466,0.146046852,0.080710102,0.227306003,0.512079063,0.131954612,0.120607613,0.168374817,0.163433382,0.168923865,0.124633968,0,0.12920937,0.010431918,0.013543192,0,0,0.072657394,0.010248902,0.619509517,0.53477306,0.11420205,0.11749634,0.035505124,0.075036603,0.073023426,0.207540264,0.548499268,0.182284041,0.0761347,0.159407028,0.030746706,0.159590044,0.129575403,0.02397511,0.168374817,0.062774524,0.760980966,0.815885798,0.043191801,0.531295754,0.284590044,0.145863836,0.186859444,0.175695461,0.130856515,0.171852123,0.158308931,0.195461201,0.263909224,0.50988287,0.288433382,0.106881406,0.041910688,0,0.044289898,0.288616398,0.141105417,0,0.019582723,0.057284041,0.123169839,0.022877013,0,0.019582723,0.484626647,0.074853587,0.015922401,0.071376281,0.094070278,0.064970717,0.023243045,0.326683748,0.654831625,0.321742313,0.139641288,0.207357247,0.182101025,0.01409224,0,0.71522694,0.033674963,0.241398243,0.088762811,0.088762811,0.0488653,0.040263543,0.298316252,0.0488653,0.043008785,0.291727672,0.053440703,0.045204978,0.0761347,0.125183016,0.063506589,0.079612006,0.167642753,0.092972182,0.469070278,0.313689605,0.07284041,0.096449488,0.010614934,0.063323572,0.105051245,0.011896047,0.137994143,0.140556369,0.122803807,0.28477306,0.176976574,0,0.14897511,0.030929722,0.0977306,0.45772328,0.116215227,0.76317716,0.130673499,0.696010249,0.672401171,0.547401171,0.492862372,0.285139092,0.214860908,0.122620791,0.030197657,0.198206442,0.249816984,0.337664714,0.04227672,0.099194729,0.034590044,0.058931186,0.050695461,0.03806735,0.070461201,0.027818448
Bacteroidetes,0.330527086,0.21614202,0.269399707,0.225841874,0.01317716,0.035688141,0,0.197474378,0,0.259516837,0.132320644,0.322108346,0.10010981,0,0.306002928,0.026171303,0.095534407,0.046669107,0.116764275,0.075036603,0,0.122254758,0.034956076,0.157027818,0.045754026,0.075951684,0,0.10010981,0.085102489,0.063140556,0.078513909,0.132137628,0.057650073,0.115666179,0.025439239,0.062591508,0.109626647,0.020497804,0.012445095,0.06204246,0.13579795,0,0,0.094802343,0,0,0.297584187,0.119143485,0,0,0.094619327,0,0.019216691,0.202232796,0.04557101,0.209004392,0.385431918,0.150073206,0.012628111,0,0,0.246339678,0.030014641,0.236090776,0.145131772,0.172584187,0.241581259,0.082906296,0.247803807,0.249450952,0.031661786,0.054904832,0.053989751,0.114019034,0.53147877,0,0,0,0,0,0,0.275622255,0,0.020131772,0.42624451,0,0.202964861,0,0.111273792,0.476207906,0.184114202,0.162152269,0.054538799,0.36182284,0,0.015922401,0.114751098,0.080161054,0,0.209370425,0.054538799,0,0.010248902,0.365666179,0,0.144033675,0.118228404,0.219253294,0.155380673,0.133967789,0.116398243,0.188506589,0.036786237,0.334919473,0.029099561,0.278550512,0.234443631,0.402818448,0.507686676,0.081625183,0.354136164,0,0,0,0.017935578,0.040263543,0.230600293,0.252196193,0.020131772,0,0,0,0,0.011346999,0,0,0.337298682,0.269033675,0,0,0.05215959,0,0,0,0,0,0,0,0,0.273609078,0.021229868,0,0,0.10102489,0.015922401,0.215959004,0.216325037,0.191983895,0.230783309,0.171486091,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028001464,0,0,0,0,0,0,0,0.024158126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016654466,0.017569546,0.019399707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01409224,0,0,0,0,0,0,0,0
Cyanobacteria,0.030929722,0,0.025805271,0,0,0,0.04557101,0,0.030197657,0.087115666,0,0,0,0,0.013543192,0,0,0,0,0,0,0,0,0,0,0.019765739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046120059,0,0,0,0.013543192,0,0,0,0.018667643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032027818,0,0,0,0,0,0,0,0.016837482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032576867,0.062225476,0.035688141,0,0,0,0,0,0,0,0.012445095,0,0,0,0,0,0,0,0,0,0.017203514,0.010065886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030746706,0,0,0.017752562,0,0.109443631,0.015007321,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0.054538799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013909224,0.06295754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030380673,0,0,0,0,0.023060029,0,0.01409224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04227672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019948755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054355783,0,0,0.036603221,0
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034956076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059297218,0,0.05636896,0,0.012262079,0,0.018118594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014824305,0,0,0,0,0,0,0.015373353,0.029282577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011163982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012811127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010980966,0,0,0,0.021229868,0,0,0,0
Firmicutes,0.573206442,0.65647877,0.600841874,0.397510981,0.118960469,0.602122987,0.519399707,0.714311859,0.386896047,0.574670571,0.679538799,0.524707174,0.082357247,0.032393851,0.585834553,0.46193265,0.774158126,0.127562225,0.441800878,0.400622255,0.32704978,0.672584187,0.529282577,0.634150805,0.199487555,0.512811127,0.081076135,0.154465593,0.271046852,0.378843338,0.325951684,0.525439239,0.160871157,0.397510981,0.205527086,0.637628111,0.463030747,0.183016105,0.15885798,0.268484627,0.810212299,0.071193265,0.238653001,0.334919473,0.237920937,0.01317716,0.514641288,0.664348463,0.183931186,0.21522694,0.570827233,0.72181552,0.769399707,0.417459736,0.015556369,0.601573939,0.480417277,0.175146413,0.46943631,0.071193265,0.058565154,0.599011713,0.318448023,0.38909224,0.6034041,0.438140556,0.387262079,0.245241581,0.34352123,0.314787701,0.045021962,0.087298682,0.058382138,0.042459736,0.349743777,0.822108346,0.989568082,0.845900439,0.506771596,0.553257687,0.869143485,0.484260615,0.178806735,0.720717423,0.408308931,0.014641288,0.143850659,0.264641288,0.759150805,0.359626647,0.645863836,0.677708638,0.70772328,0.386530015,0.424048316,0.166727672,0.416544656,0.277635432,0.240666179,0.429172767,0.89238653,0.993045388,0.127196193,0.585468521,0.544472914,0.683199122,0.365300146,0.435395315,0.553074671,0.391471449,0.814055637,0.721266471,0.521229868,0.561310395,0.815885798,0.603038067,0.588579795,0.477489019,0.393301611,0.232796486,0.473096633,0.399341142,0.410505124,0.201683748,0.553989751,0.320095168,0.609443631,0.543191801,0.891837482,0.414897511,0.153733529,0.042093704,0.492313324,0.186859444,0.842240117,0.582540264,0.492313324,0.564787701,0.077598829,0.859809663,0.133052709,0.406295754,0.203147877,0.224926794,0.1738653,0.213213763,0.16398243,0.449853587,0.872986823,0.629575403,0.745058565,0.431185944,0.357796486,0.756039531,0.464860908,0.678989751,0.493045388,0.69363104,0.685029283,0.52397511,0.199304539
Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175695461,0,0,0,0.142935578,0.019399707,0,0,0,0.062225476,0,0.247254758,0,0,0.256771596,0,0,0,0.0215959,0.032210835,0.031112738,0.013360176,0.020314788,0,0.03056369,0,0.014824305,0,0,0,0.155197657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029831625,0,0,0,0,0,0.051976574,0,0.088762811,0,0,0,0,0,0,0.159956076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036603221,0,0,0,0,0,0,0,0,0.093155198,0,0,0.075951684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
