ID,Renamed,Sample_or_Control,SampleID,Site,County ,State,WA,NV,UT,KS,NJ,NY,CT,RI,Flyway,Atlantic,Central,Pacific,Date,Age,Sex,Latitude ,Longitude,UTM (universal transverse mercator),Notes,How Collected,Control
31,442CHYU ,442,442CHYU ,Cedar Lake Chester,Middlesex ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/24/2019,HY,U,41.39766,-72.49815,,,,C4_1
32,446CAHYU,446,446CAHYU,Cedar Lake Chester,Middlesex ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/24/2019,AHY,U,41.39766,-72.49815,,,,C4_1
33,451CAHYU,451,451CAHYU,Cedar Lake Chester,Middlesex ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/24/2019,AHY,U,41.39766,-72.49815,,,,C4_1
34,453CAHYU,453,453CAHYU,Cedar Lake Chester,Middlesex ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/24/2019,AHY,U,41.39766,-72.49815,,,,C4_1
35,454CAHYU,454,454CAHYU,Cedar Lake Chester,Middlesex ,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/24/2019,AHY,U,41.39766,-72.49815,,,,C4_1
46,381CAHYU,381,381CAHYU,EDAC Technologies,New Haven,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/19/2019,AHY,U,41.55185,-72.91991,,,,C3_1
47,384CHYU,384,384CHYU,EDAC Technologies,New Haven,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/19/2019,HY,U,41.55185,-72.91991,,,,C3_1
48,388CHYU,388,388CHYU,EDAC Technologies,New Haven,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/19/2019,HY,U,41.55185,-72.91991,,,,C3_1
49,389CHYU,389,389CHYU,EDAC Technologies,New Haven,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/19/2019,HY,U,41.55185,-72.91991,,,,C3_1
50,398CAHYU,398,398CAHYU,EDAC Technologies,New Haven,CT,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Atlantic ,1.00,0.00,0.00,6/19/2019,AHY,U,41.55185,-72.91991,,,,C3_1
